Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,1775.000000,1788.974976,1745.000000,1748.869995,1747.321899,2034590
2021-12-06,1748.699951,1759.895020,1685.099976,1689.344971,1687.849609,2036900
2021-12-07,1714.000000,1725.000000,1693.170044,1710.900024,1709.385498,2300780
2021-12-08,1716.599976,1767.425049,1716.599976,1762.165039,1760.605225,2842990
2021-12-09,1762.535034,1777.189941,1748.699951,1759.660034,1758.102539,2103820
2021-12-10,1758.000000,1776.354980,1730.064941,1771.109985,1769.542236,2333140
2021-12-13,1775.000000,1783.594971,1725.000000,1732.400024,1730.866577,2199130
2021-12-14,1720.000000,1726.000000,1686.500000,1712.349976,1710.834229,2420260
2021-12-15,1716.900024,1721.494995,1662.000000,1666.069946,1664.595215,2532210
2021-12-16,1687.000000,1695.000000,1657.500000,1670.334961,1668.856445,3253500
2021-12-17,1665.000000,1685.000000,1613.300049,1620.420044,1618.985596,3054350
2021-12-20,1594.000000,1594.000000,1545.000000,1582.619995,1581.219116,3371600
2021-12-21,1615.000000,1615.000000,1567.699951,1583.194946,1581.793579,3368050
2021-12-22,1593.099976,1618.494995,1583.000000,1594.589966,1593.178467,2612920
2021-12-23,1610.000000,1621.954956,1602.650024,1616.989990,1615.558594,1811180
2021-12-24,1625.000000,1625.000000,1580.000000,1592.055054,1590.645752,2087360
2021-12-27,1561.035034,1613.994995,1556.104980,1601.310059,1599.892700,2351140
2021-12-28,1617.234985,1624.900024,1602.165039,1610.084961,1608.659790,1457220
2021-12-29,1610.030029,1633.000000,1596.599976,1624.905029,1623.466675,1724280
2021-12-30,1620.000000,1628.180054,1597.449951,1616.755005,1615.323853,2831460
2021-12-31,1619.755005,1650.000000,1617.000000,1640.619995,1639.167847,2300860
2022-01-03,1640.650024,1704.000000,1640.650024,1698.130005,1696.626831,2710610
2022-01-04,1709.900024,1719.000000,1685.209961,1713.545044,1712.028320,2300430
2022-01-05,1710.000000,1805.000000,1710.000000,1798.839966,1797.247681,6082100
2022-01-06,1770.099976,1808.000000,1770.099976,1798.650024,1797.057983,3511360
2022-01-07,1807.500000,1814.295044,1758.000000,1775.689941,1774.118164,3229140
2022-01-10,1780.000000,1800.000000,1773.064941,1779.880005,1778.304565,1697970
2022-01-11,1770.000000,1793.505005,1762.109985,1779.949951,1778.374390,1648180
2022-01-12,1790.000000,1819.000000,1775.000000,1793.530029,1791.942505,2233940
2022-01-13,1799.770020,1827.489990,1790.000000,1822.500000,1820.886719,2480130
2022-01-14,1804.400024,1833.344971,1800.000000,1820.969971,1819.358154,1553280
2022-01-17,1829.000000,1843.500000,1822.099976,1837.060059,1835.433960,1352730
2022-01-18,1837.685059,1855.875000,1810.005005,1815.354980,1813.748047,2056670
2022-01-19,1824.000000,1862.099976,1787.535034,1807.729980,1806.129883,3481740
2022-01-20,1807.500000,1826.199951,1708.000000,1725.895020,1724.367310,5444730
2022-01-21,1700.000000,1709.500000,1622.000000,1633.520020,1632.074097,5582910
2022-01-24,1638.849976,1643.395020,1544.400024,1570.714966,1569.324585,4736430
2022-01-25,1555.050049,1568.244995,1525.030029,1552.895020,1551.520386,4090640
2022-01-27,1538.599976,1557.040039,1501.199951,1535.984985,1534.625366,3497270
2022-01-28,1560.099976,1578.765015,1515.000000,1519.875000,1518.529663,3509310
2022-01-31,1559.000000,1574.099976,1532.969971,1568.954956,1567.566162,3129920
2022-02-01,1582.895020,1601.494995,1550.000000,1590.385010,1588.977295,3571870
2022-02-02,1603.010010,1675.000000,1592.500000,1670.599976,1669.121216,5257450
2022-02-03,1670.599976,1671.699951,1626.369995,1634.810059,1633.363037,2891370
2022-02-04,1634.800049,1646.935059,1614.500000,1620.574951,1619.140503,2945050
2022-02-07,1616.000000,1636.405029,1565.000000,1571.135010,1569.744263,3566640
2022-02-08,1581.000000,1611.979980,1572.000000,1598.915039,1597.499756,4103730
2022-02-09,1618.000000,1641.489990,1612.000000,1625.780029,1624.340820,2510230
2022-02-10,1634.489990,1655.000000,1603.300049,1639.359985,1637.908813,2997700
2022-02-11,1600.000000,1620.000000,1591.000000,1611.310059,1609.883789,2446960
2022-02-14,1580.500000,1588.795044,1545.099976,1567.415039,1566.027588,2961150
2022-02-15,1589.000000,1642.750000,1564.900024,1637.525024,1636.075562,3592130
2022-02-16,1642.800049,1658.989990,1619.010010,1627.244995,1625.804565,2738740
2022-02-17,1636.599976,1641.829956,1608.099976,1618.119995,1616.687622,2144330
2022-02-18,1606.099976,1628.900024,1602.584961,1609.655029,1608.230225,1743270
2022-02-21,1603.800049,1623.814941,1578.000000,1601.224976,1599.807617,2275920
2022-02-22,1530.000000,1627.000000,1527.500000,1618.944946,1617.511963,3223740
2022-02-23,1639.000000,1639.000000,1603.505005,1613.359985,1611.931885,2418300
2022-02-24,1560.000000,1589.589966,1520.000000,1524.520020,1523.170532,3615630
2022-02-25,1578.800049,1606.500000,1557.000000,1577.214966,1575.818848,3203370
2022-02-28,1570.000000,1608.484985,1536.500000,1601.255005,1599.837646,3732570
2022-03-02,1570.500000,1615.714966,1563.199951,1605.300049,1603.879150,2817150
2022-03-03,1630.000000,1634.795044,1564.680054,1570.410034,1569.020020,3400140
2022-03-04,1559.000000,1567.229980,1521.199951,1533.319946,1531.962646,3380590
2022-03-07,1499.400024,1499.400024,1379.989990,1437.319946,1436.047607,3715210
2022-03-08,1440.000000,1452.500000,1395.104980,1445.069946,1443.790771,4625690
2022-03-09,1450.109985,1519.954956,1440.000000,1501.520020,1500.190918,3913410
2022-03-10,1564.900024,1585.000000,1530.505005,1546.744995,1545.375854,4764050
2022-03-11,1540.000000,1575.000000,1528.000000,1556.900024,1555.521973,3296320
2022-03-14,1547.560059,1573.500000,1541.150024,1567.849976,1566.462158,2852010
2022-03-15,1574.900024,1595.000000,1553.405029,1570.890015,1569.499512,2965110
2022-03-16,1590.060059,1624.000000,1585.104980,1612.484985,1611.057739,2983170
